       Potato Crisps | 1 SOLD
            Stackers | 0 SOLD
         Grain Waves | 0 SOLD
       Cloud Popcorn | 0 SOLD
             Moonpie | 0 SOLD
            Cowtales | 0 SOLD
           Wonka Bar | 1 SOLD
            Crunchie | 0 SOLD
                Cola | 1 SOLD
            Dr. Salt | 0 SOLD
     Mountain Melter | 0 SOLD
               Heavy | 0 SOLD
             U-Chews | 0 SOLD
  Little League Chew | 0 SOLD
            Chiclets | 0 SOLD
          Triplemint | 0 SOLD


***TOTAL SALES*** $5.80     
